extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
0,1635.56,1943.77,22.264,21.758000000000003,1,148.5,116.7,0,0,0.045,0.036,-0.024,0.013,0.0069999999999999,0.009
0,1674.71,3088.03,23.468000000000004,21.197,1,103.9,161.9,0,0,0.062,0.053,-0.033,-0.004,0.01,0.0069999999999999
0,2449.51,2223.64,23.745,21.159,1,64.3,117.9,0,0,0.004,0.009,0.004,0.003,0.017,0.009
0,1855.8,2133.79,23.144,21.295,1,74.3,100.3,0,0,0.08,0.089,-0.036,-0.015,0.015,0.011
0,1974.62,2312.36,23.368,21.277,1,93.7,142.1,0,0,0.134,0.123,0.005,0.016,0.012,0.008
0,2082.02,2177.28,23.574,21.254,1,58.7,103.0,0,0,0.215,0.1159999999999999,-0.064,-0.04,0.018,0.011
0,2054.28,2536.06,23.591,21.242,1,83.7,146.9,0,0,0.178,0.08,-0.02,0.006,0.013,0.0069999999999999
0,1512.6,3879.07,23.679,21.161,1,95.5,164.5,0,0,0.018,0.012,-0.018,-0.01,0.011,0.0069999999999999
0,1670.06,1883.44,23.58,21.231,1,89.6,154.2,0,0,0.052,0.039,-0.067,-0.02,0.012,0.0069999999999999
0,2818.06,1808.67,23.316,21.262,1,112.3,160.3,0,0,0.025,0.023,-0.025,-0.018,0.01,0.0069999999999999
0,2541.69,2592.7,23.331,21.309,1,101.0,143.6,0,0,0.1169999999999999,0.139,-0.026,-0.006,0.011,0.008
0,2435.97,2522.46,23.471,21.286,1,87.8,140.3,0,0,0.111,0.071,-0.065,-0.01,0.012,0.008
0,2323.97,2615.67,23.437,21.308000000000003,1,85.8,133.7,0,0,0.11,0.104,-0.077,-0.059,0.013,0.008
0,2910.32,2548.42,23.474,21.28,1,101.1,155.2,0,0,0.062,0.03,0.012,0.0069999999999999,0.011,0.0069999999999999
0,2809.57,2728.0,23.582,21.257,1,93.2,153.0,0,0,0.055,0.031,0.015,0.015,0.012,0.0069999999999999
0,2171.07,2263.79,22.982,21.476,1,111.9,129.6,0,0,0.088,0.084,-0.061,-0.036,0.01,0.008
0,1907.13,2023.9,22.332,21.87,1,133.7,101.7,0,0,0.059,0.071,-0.046,-0.002,0.008,0.011
0,2682.1,2669.71,22.33,21.916,1,147.0,109.5,0,0,0.025,0.032,-0.01,0.002,0.0069999999999999,0.01
0,2385.64,2493.94,22.367,21.908,1,136.5,101.4,0,0,0.108,0.162,-0.034,-0.05,0.008,0.011
0,2441.16,2624.93,23.632,21.29,1,84.7,145.8,0,0,0.157,0.074,0.039,-0.0,0.013,0.0069999999999999
0,1870.26,3686.32,23.65,21.238000000000003,1,98.3,161.8,0,0,0.023,0.024,0.0069999999999999,0.013,0.011,0.0069999999999999
0,2994.34,3560.63,22.59,21.739,1,137.5,116.0,0,0,0.096,0.2189999999999999,-0.053,-0.0069999999999999,0.008,0.009
0,2460.84,2639.52,23.58,21.295,1,88.2,144.7,0,0,0.094,0.045,-0.003,-0.002,0.012,0.008
0,2105.34,2996.52,23.186,21.426,1,108.7,139.7,0,0,0.118,0.063,-0.121,-0.045,0.01,0.008
0,2743.87,2723.99,23.197,21.418000000000003,1,112.3,143.9,0,0,0.006,0.0069999999999999,-0.027,0.026,0.01,0.008
0,2249.3,2591.96,23.488000000000003,21.371,1,76.2,126.4,0,0,0.407,0.211,0.0069999999999999,-0.005,0.0139999999999999,0.009
0,2453.0,2509.33,23.688,21.453000000000003,1,58.5,96.6,0,0,0.062,0.033,-0.1119999999999999,-0.14,0.019,0.011
0,2525.64,2458.98,22.362,21.919,1,135.6,102.6,0,0,0.086,0.098,-0.012,0.009,0.008,0.011
0,1645.5,1988.14,22.845,21.555,1,112.3,118.1,0,0,0.124,0.192,-0.104,-0.052,0.01,0.009
0,2389.6,2567.02,22.381,21.926,1,135.4,101.6,0,0,0.088,0.095,-0.01,-0.022,0.008,0.011
0,2012.62,2291.69,23.47,21.355,1,88.8,137.1,0,0,0.105,0.08,0.018,0.004,0.012,0.008
0,1619.83,1734.89,24.05,21.194000000000003,1,76.5,160.2,0,0,0.05,0.044,-0.004,0.0069999999999999,0.0139999999999999,0.0069999999999999
0,2015.66,2287.38,23.493,21.344,1,87.6,136.8,0,0,0.09,0.069,-0.015,-0.013,0.012,0.008
0,2469.68,2593.3,23.368,21.395,1,96.3,137.8,0,0,0.129,0.084,-0.035,-0.0289999999999999,0.011,0.008
0,2179.64,2710.07,23.761,21.294,1,80.7,144.1,0,0,0.035,0.034,-0.009,-0.022,0.013,0.008
0,2909.47,2787.56,23.503,21.341,1,101.4,152.7,0,0,0.01,0.006,-0.027,-0.0069999999999999,0.011,0.0069999999999999
0,1624.72,1936.81,22.629,21.748,1,131.4,117.7,0,0,0.019,0.035,-0.039,-0.035,0.008,0.009
0,2181.77,2264.7,22.321,22.079,1,136.3,91.4,0,0,0.092,0.142,-0.053,-0.047,0.008,0.012
0,2125.46,3039.39,23.417,21.399,1,96.2,142.3,0,0,0.068,0.044,0.003,0.009,0.011,0.008
0,1788.74,2065.1,22.377,21.956,1,138.0,103.0,0,0,0.051,0.048,-0.02,-0.004,0.008,0.011
0,2474.26,2422.77,22.323,22.068,1,144.2,99.1,0,0,0.035,0.04,-0.013,-0.006,0.008,0.011
0,2207.7,1420.82,22.33,22.014,1,147.8,106.1,0,0,0.024,0.044,-0.01,-0.005,0.0069999999999999,0.01
0,2019.88,2399.83,23.528,21.396,1,85.6,136.9,0,0,0.1,0.049,-0.0069999999999999,-0.022,0.013,0.008
0,1911.34,2518.98,23.535,21.384,1,89.3,137.9,0,0,0.098,0.088,-0.016,-0.008,0.012,0.008
0,1796.55,2071.52,22.818,21.646,1,119.8,121.1,0,0,0.087,0.081,-0.021,-0.002,0.009,0.009
0,1792.86,1810.21,23.679,21.31,1,88.3,148.9,0,0,0.095,0.076,-0.032,-0.005,0.012,0.0069999999999999
0,2489.65,2637.04,22.491,21.938,1,134.5,104.9,0,0,0.032,0.046,-0.051,-0.088,0.008,0.01
0,2490.57,2758.23,22.383000000000003,22.091,1,134.9,90.8,0,0,0.062,0.076,-0.026,-0.033,0.008,0.012
0,2470.18,2707.17,22.432,21.992,1,134.8,101.1,0,0,0.059,0.057,-0.019,-0.013,0.008,0.011
0,2209.86,3058.52,23.358,21.449,1,104.6,141.9,0,0,0.016,0.016,-0.059,-0.033,0.01,0.008
0,1836.26,2529.12,23.931,21.305,1,74.3,142.1,0,0,0.09,0.051,-0.009,0.01,0.015,0.008
0,2954.55,3441.56,23.406,21.42,1,106.9,148.7,0,0,0.015,0.013,-0.01,-0.005,0.01,0.0069999999999999
0,2158.53,2703.84,23.891,21.323,1,77.8,146.6,0,0,0.018,0.0139999999999999,-0.027,-0.027,0.0139999999999999,0.0069999999999999
0,1635.22,1833.45,22.861,21.658,1,123.4,126.4,0,0,0.039,0.024,-0.036,-0.026,0.009,0.009
0,1686.5,1748.09,23.73,21.312,1,85.4,144.4,0,0,0.0409999999999999,0.042,-0.011,-0.016,0.013,0.008
0,2359.21,2709.36,23.833,21.457,1,51.3,130.8,0,0,0.102,0.0559999999999999,-0.027,0.006,0.021,0.008
0,1804.05,2235.08,22.336,22.173,1,130.4,84.3,0,0,0.114,0.138,-0.038,-0.004,0.008,0.013
0,2073.6,2218.65,24.175,21.328000000000003,1,43.6,98.0,0,0,0.218,0.171,-0.045,-0.005,0.025,0.011
0,1967.3,2676.16,23.605,21.412,1,90.2,140.6,0,0,0.035,0.0279999999999999,-0.044,-0.026,0.012,0.008
0,2522.37,3192.6,23.347,21.492,1,106.6,140.1,0,0,0.038,0.036,-0.005,-0.008,0.01,0.008
0,2401.7,3147.97,22.406,22.12,1,140.2,98.6,0,0,0.023,0.042,-0.019,-0.006,0.008,0.011
0,1464.7,1963.31,23.7,21.386,1,83.9,140.2,0,0,0.091,0.069,-0.033,-0.001,0.013,0.008
0,2153.57,2211.7,22.471,22.07,1,92.0,65.7,0,0,0.073,0.143,-0.008,-0.0289999999999999,0.012,0.017
0,2556.66,3288.19,22.43,22.078000000000003,1,138.1,102.0,0,0,0.031,0.037,-0.024,0.0069999999999999,0.008,0.011
0,2762.19,2716.03,22.429,22.086,1,100.6,71.8,0,0,0.006,0.009,0.0139999999999999,0.019,0.011,0.015
0,1468.17,2020.62,22.321,22.217,1,140.3,89.3,0,0,0.062,0.114,-0.039,-0.012,0.008,0.012
0,1398.04,2161.3,23.821,21.382,1,60.6,103.2,0,0,0.033,0.031,-0.012,0.004,0.018,0.011
0,267.36,1792.48,24.821,21.264,1,52.3,158.8,0,0,0.091,0.018,-0.021,0.024,0.021,0.0069999999999999
0,2836.25,3000.85,22.369,22.191,1,145.5,97.2,0,0,0.008,0.021,0.001,-0.009,0.0069999999999999,0.011
0,2901.77,2149.39,22.467,21.999,1,99.3,76.9,0,0,0.03,0.026,-0.015,0.035,0.011,0.0139999999999999
0,1603.43,1860.11,23.95,21.337,1,77.0,146.9,0,0,0.096,0.071,-0.032,0.0069999999999999,0.0139999999999999,0.0069999999999999
0,2916.94,3481.71,22.527,22.031,1,136.6,103.7,0,0,0.073,0.14,-0.005,0.002,0.008,0.01
0,2083.27,2481.51,22.519,22.051,1,122.9,92.1,0,0,0.094,0.086,-0.005,0.026,0.009,0.012
0,2422.78,2584.71,23.338,21.555,1,96.9,126.7,0,0,0.034,0.039,0.013,0.018,0.011,0.009
0,2904.64,3235.6,23.945,21.371,1,82.4,149.4,0,0,0.017,0.011,-0.0069999999999999,-0.001,0.013,0.0069999999999999
0,2683.67,2631.98,22.485,22.097,1,135.5,97.9,0,0,0.05,0.107,0.006,0.0279999999999999,0.008,0.011
0,1720.51,2763.24,23.419,21.521,1,100.7,135.5,0,0,0.0559999999999999,0.055,-0.044,-0.03,0.011,0.008
